id;idd;name;open;description;longitude;latitude;estimated_waiting_time;attente;opening_time;closure_time;affluence;type
1;Incredible Global Lead;Multi-tiered;true;solutions channels;70430;68544;43172;29103;2020-03-05T16:17:09;2020-03-05T12:24:15;MEDIUM;ADMINISTRATION
2;frame Romania Meadow;ROI Tasty withdrawal;false;compressing;39543;13526;81254;72590;2020-03-06T07:56:09;2020-03-05T18:07:07;VERY_HIGH;BATCOURS
3;Intelligent Rubber Mouse invoice;Sleek Granite Shoes Corporate Fresh;true;Guernsey Tasty;54829;71687;58209;1132;2020-03-05T15:30:35;2020-03-05T22:29:42;MEDIUM;BATCOURS
4;International Cambridgeshire;Optimized JSON lavender;false;calculate Orchard hacking;79025;79565;82485;86352;2020-03-06T04:53:43;2020-03-06T04:24:40;LOW;ADMINISTRATION
5;Strategist Cambridgeshire;Associate Avon Metrics;true;Gorgeous;6355;10805;5787;49320;2020-03-05T19:03:33;2020-03-05T21:44:21;VERY_HIGH;RESTAURATION
6;redundant;convergence Officer Personal Loan Account;true;SAS Investment Account;90451;48819;96010;63491;2020-03-06T08:59:15;2020-03-05T18:52:30;HIGH;BATCOURS
7;grey Savings Account synthesizing;Configuration web-enabled SAS;true;Gorgeous contextually-based Tokelau;71350;80423;15743;59601;2020-03-06T03:46:11;2020-03-06T00:34:22;LOW;BATCOURS
8;Assistant;Tennessee Intelligent Cotton Chicken mobile;false;Granite;65334;44501;47042;61994;2020-03-05T14:20:06;2020-03-06T05:36:31;HIGH;RESTAURATION
9;framework Credit Card Account;Health Program Borders;false;Lao People's Democratic Republic schemas Frozen;40510;84225;29474;47377;2020-03-06T05:03:13;2020-03-06T03:29:15;LOW;RESTAURATION
10;customer loyalty experiences;Engineer;false;contingency;88322;81010;7337;83044;2020-03-06T00:43:54;2020-03-06T05:45:01;MEDIUM;RESTAURATION
